run_id,epoch,loss,timestamp
no_attention_20250802_144237,1,6.157962943232337,2025-08-02T14:42:41.488062
no_attention_20250802_144237,2,5.261531208836755,2025-08-02T14:42:44.925443
no_attention_20250802_144237,3,4.938416325768759,2025-08-02T14:42:48.324213
no_attention_20250802_144237,4,4.680927542752998,2025-08-02T14:42:51.680020
no_attention_20250802_144237,5,4.463127607523009,2025-08-02T14:42:55.085683
no_attention_20250802_144237,6,4.2132090191508444,2025-08-02T14:42:58.527836
no_attention_20250802_144237,7,3.880584012630374,2025-08-02T14:43:02.120994
no_attention_20250802_144237,8,3.636507516683534,2025-08-02T14:43:05.786932
no_attention_20250802_144237,9,3.3265354522438937,2025-08-02T14:43:09.592644
no_attention_20250802_144237,10,3.007599065470141,2025-08-02T14:43:12.937035
no_attention_20250802_144237,11,2.7711757671001345,2025-08-02T14:43:16.429478
no_attention_20250802_144237,12,2.4358790447545604,2025-08-02T14:43:19.874734
no_attention_20250802_144237,13,2.1215657772019854,2025-08-02T14:43:23.359906
no_attention_20250802_144237,14,1.9154494280038878,2025-08-02T14:43:27.086323
no_attention_20250802_144237,15,1.7352465335712877,2025-08-02T14:43:30.474268
no_attention_20250802_144237,16,1.4627668053604836,2025-08-02T14:43:33.824361
no_attention_20250802_144237,17,1.2792404086090798,2025-08-02T14:43:37.208678
no_attention_20250802_144237,18,1.2227390990700833,2025-08-02T14:43:40.530558
no_attention_20250802_144237,19,1.020941177079844,2025-08-02T14:43:43.831983
no_attention_20250802_144237,20,0.972882772600928,2025-08-02T14:43:47.198032
no_attention_20250802_144237,21,0.900558119596437,2025-08-02T14:43:50.597974
no_attention_20250802_144237,22,0.7772116605625596,2025-08-02T14:43:53.901592
no_attention_20250802_144237,23,0.7492539813352186,2025-08-02T14:43:57.218864
no_attention_20250802_144237,24,0.7308491350606431,2025-08-02T14:44:00.526257
no_attention_20250802_144237,25,0.691259118706681,2025-08-02T14:44:03.842922
